Location, Distance,   Date, Method, Comment
Fermilab,      512, 060614,    Car, Users Meeting
Fermilab,      512, 080114,    Car, LArIAT Meeting
Japan,        6492, 052915, Flight, T2K Collaboration Meeting
Japan,         149, 053015,    Bus, NRT to Tokai Bus
Japan,         122, 060915,  Train, Tokai to Tokyo to Narita
East Lansing, 6492, 060915, Flight, T2K Collaboration Meeting
Fermilab,      512, 062915,    Car, LArIAT Shifts
Detroit,       172, 070715,    Bus, Flyer to/from DTW
Vancouver,    4598, 070715, Flight, TRIUMF T2K Meeting
Ann Arbor,     114, 080615,    Car, DPF 2015
SLAC,         4099, 080915, Flight, SSI 2015
Detroit,       172, 011916,    Bus, Flyer to/from DTW
Japan,       12974, 011916, Flight, T2K Collaboration Meeting
Japan,         149, 012016,    Bus, NRT to Tokai Bus
Japan,         122, 013116,  Train, Tokai to Tokyo to Narita
Detroit,       172, 022816,    Bus, Flyer to/from DTW
Barcelona,    8672, 022816, Flight, Working with Federico
Barcelona,     298, 030116,  Train, Train to/from Universitat
Wash. DC,      956, 032816, Flight, EAPSI Orientation
Japan,       13134, 052116, Flight, T2K Collaboration Meeting
Japan,         149, 052216,    Bus, NRT to Tokai Bus
Japan,         122, 052916,  Train, Tokai to Tokyo to Narita
Detroit,        86, 061316,    Car, Rental Car to DTW
Toronto,       188, 061316, Flight, DTW to YYZ / JSPS Fellowship
Japan,        6421, 061316, Flight, YYZ to NRT / JSPS Fellowship
Toronto,      6421, 082416, Flight, NRT to YYZ / JSPS Fellowship
Detroit,       188, 082416, Flight, YYZ to DTW / JSPS Fellowship
East Lansing,   86, 082516,    Car, Rental Car from DTW       
